20
36
30
0,2,2
0,14,-1
0,26,1
1,3,2
1,9,3
1,15,-1
1,21,3
1,27,-1
1,33,1
2,0,-1
2,4,2
2,8,3
2,12,-1
2,16,-1
2,20,1
2,24,2
2,28,2
2,32,1
3,6,1
3,7,1
3,10,-1
3,18,1
3,19,1
3,22,1
3,30,1
3,31,1
3,34,1
4,1,-1
4,4,2
4,5,1
4,13,-1
4,16,2
4,17,1
4,25,1
4,28,1
4,29,1
5,3,2
5,7,-1
5,11,0
5,15,2
5,19,-1
5,23,-1
5,27,1
5,31,1
5,35,-1
6,2,1
6,8,0
6,14,3
6,20,2
6,26,1
6,32,1
7,1,2
7,9,-1
7,13,3
7,21,-1
7,25,1
7,33,1
8,0,2
8,6,1
8,10,-1
8,12,2
8,18,0
8,22,3
8,24,1
8,30,1
8,34,2
9,0,1
9,4,1
9,12,1
9,16,-1
9,24,1
9,28,1
10,7,1
10,11,1
10,19,1
10,23,1
10,31,1
10,35,1
11,1,-1
11,5,-1
11,11,1
11,13,-1
11,17,-1
11,23,1
11,25,3
11,29,1
11,35,1
12,2,1
12,10,3
12,14,-1
12,22,1
12,26,3
12,34,1
13,3,-1
13,9,2
13,15,1
13,21,1
13,27,1
13,33,1
14,0,1
14,4,2
14,8,1
14,12,2
14,16,0
14,20,1
14,24,2
14,28,-1
14,32,3
15,6,2
15,7,1
15,10,-1
15,18,1
15,19,1
15,22,-1
15,30,1
15,31,2
15,34,-1
16,1,1
16,4,2
16,5,1
16,13,2
16,16,1
16,17,1
16,25,0
16,28,2
16,29,1
17,3,1
17,7,-1
17,11,-1
17,15,1
17,19,1
17,23,-1
17,27,2
17,31,-1
17,35,-1
18,2,2
18,8,1
18,14,1
18,20,-1
18,26,0
18,32,1
19,9,1
19,21,1
19,33,2
